model,total_result,query_time,result_time,execution_time,output_time,total_time
CubeQuerySales,910456,49409,1592,51001,11162,62163
CubeQuerySales,910456,46521,1719,48240,11952,60192
CubeQuerySales,910456,47438,1199,48637,11248,59885
CubeQuerySales,910456,44786,1713,46499,11546,58045
CubeQuerySales,910456,45723,1323,47046,11280,58326
CubeQuerySales,910456,46197,1745,47942,11348,59290
CubeQuerySales,910456,45509,1568,47077,11397,58474
CubeQuerySales,910456,45379,1711,47090,12238,59328
CubeQuerySales,910456,46040,1561,47601,11018,58619
CubeQuerySales,910456,45659,1717,47376,11384,58760
