model,total_result,query_time,result_time,execution_time,output_time,total_time
CubeQuerySales,910456,20805,5624,26429,6909,33338
CubeQuerySales,910456,15686,8141,23827,6804,30631
CubeQuerySales,910456,14565,1522,16087,11147,27234
CubeQuerySales,910456,14757,1901,16658,11030,27688
CubeQuerySales,910456,14372,1575,15947,11378,27325
CubeQuerySales,910456,13953,1695,15648,7297,22945
CubeQuerySales,910456,14212,2142,16354,10060,26414
CubeQuerySales,910456,14260,1477,15737,7315,23052
CubeQuerySales,910456,14333,1709,16042,10880,26922
CubeQuerySales,910456,15730,1348,17078,7841,24919
