model,total_result,query_time,result_time,execution_time,output_time,total_time
CubeQuerySales,910456,31735,1786,33521,7424,40945
CubeQuerySales,910456,41625,1382,43007,10840,53847
CubeQuerySales,910456,39570,1696,41266,12182,53448
CubeQuerySales,910456,39791,1348,41139,11249,52388
CubeQuerySales,910456,30364,1541,31905,10974,42879
CubeQuerySales,910456,36079,2153,38232,10502,48734
CubeQuerySales,910456,39087,1634,40721,7934,48655
CubeQuerySales,910456,28122,7973,36095,6785,42880
CubeQuerySales,910456,38816,1410,40226,7871,48097
CubeQuerySales,910456,39424,8320,47744,6709,54453
