model,total_result,query_time,result_time,execution_time,output_time,total_time
CubeQuerySales,910456,37916,1870,39786,10859,50645
CubeQuerySales,910456,32367,1525,33892,7903,41795
CubeQuerySales,910456,36956,1756,38712,11013,49725
CubeQuerySales,910456,31323,1365,32688,11228,43916
CubeQuerySales,910456,33307,1590,34897,10924,45821
CubeQuerySales,910456,32119,1261,33380,7860,41240
CubeQuerySales,910456,32163,1488,33651,10623,44274
CubeQuerySales,910456,31882,2076,33958,10040,43998
CubeQuerySales,910456,32659,1542,34201,7538,41739
CubeQuerySales,910456,31076,8194,39270,6807,46077
