model,total_result,query_time,result_time,execution_time,output_time,total_time
CubeQuerySales,910456,30206,3732,33938,6970,40908
CubeQuerySales,910456,30293,1614,31907,7237,39144
CubeQuerySales,910456,25714,1372,27086,10684,37770
CubeQuerySales,910456,26033,1898,27931,10780,38711
CubeQuerySales,910456,25249,1305,26554,10905,37459
CubeQuerySales,910456,24337,1538,25875,7197,33072
CubeQuerySales,910456,26580,7971,34551,6589,41140
CubeQuerySales,910456,26232,1398,27630,10705,38335
CubeQuerySales,910456,25552,1948,27500,10489,37989
CubeQuerySales,910456,25897,1450,27347,7470,34817
