model,total_result,query_time,result_time,execution_time,output_time,total_time
CubeQuerySales,910456,36535,1845,38380,10846,49226
CubeQuerySales,910456,32191,1639,33830,10956,44786
CubeQuerySales,910456,32096,1519,33615,11112,44727
CubeQuerySales,910456,32926,1671,34597,12586,47183
CubeQuerySales,910456,31015,1513,32528,10847,43375
CubeQuerySales,910456,32086,1529,33615,12686,46301
CubeQuerySales,910456,31826,1293,33119,7680,40799
CubeQuerySales,910456,31557,1546,33103,10994,44097
CubeQuerySales,910456,32742,1509,34251,7824,42075
CubeQuerySales,910456,31944,1710,33654,11401,45055
