sale_id,location_id,product_id,date_id,sales
0,4891,2429,0,3757
1,7126,3094,1,9663
2,2615,2108,2,1157
3,7405,6164,3,3662
4,1984,6374,4,4528
5,1509,2468,5,6972
6,2701,491,6,6480
7,5239,3919,7,5157
8,3948,3481,8,8109
9,4009,3401,9,6728
10,4132,5289,10,9544
11,7148,340,11,1967
12,5704,1283,12,9064
13,6183,1030,13,7849
14,6403,585,14,5545
15,8224,6339,15,1388
16,5354,192,16,6174
17,2010,8593,17,6310
18,9480,1867,18,1519
19,2985,288,19,7659
20,2045,6964,20,4682
21,5311,4799,21,8989
22,2464,8856,22,9866
23,5746,565,23,7128
24,2092,2035,24,7607
25,9754,9259,25,5612
26,2534,2945,26,3048
27,9415,3203,27,1225
28,4444,3403,28,9767
29,5084,6147,29,444
30,2490,9792,30,8698
31,5243,9895,31,1504
32,6188,8353,32,9680
33,2170,5823,33,9468
34,2154,729,34,5437
35,2333,5471,35,8979
36,1347,6253,36,4043
37,1200,6976,37,1484
38,1169,1055,38,8871
39,3943,7995,39,2936
40,4216,4475,40,1897
41,8258,622,41,4252
42,8137,1909,42,5744
43,8770,8729,43,797
44,1651,2905,44,2218
45,6443,2170,45,8867
46,6480,2898,46,9174
47,1440,7836,47,5017
48,2371,7095,48,5573
49,3136,6828,49,5957
50,7271,4759,50,4404
51,8542,4827,51,7038
52,374,6126,52,5401
53,2146,3920,53,2451
54,2516,7200,54,2683
55,7591,8313,55,1257
56,4772,6577,56,6093
57,2592,66,57,4606
58,1794,5139,58,4222
59,6650,79,59,6289
60,2823,9013,60,5624
61,1118,9911,61,796
62,3648,3698,62,9059
63,7288,9994,63,5072
64,1255,3842,64,3927
65,64,5234,65,5699
66,4709,9055,66,3863
67,7143,6341,67,6770
68,3448,7398,68,4629
69,8615,2128,69,2289
70,3982,7631,70,8494
71,6332,6963,71,4525
72,9204,4106,72,3091
73,7226,9918,73,4147
74,2723,4924,74,2710
75,2583,6768,75,9861
76,168,2824,76,6057
77,9512,6660,77,1808
78,1155,488,78,4232
79,4492,8309,79,9295
80,9441,2578,80,2295
81,7197,6250,81,9648
82,4148,6395,82,3776
83,1659,2874,83,7528
84,7830,7856,84,2887
85,4695,185,85,7689
86,2826,4437,86,510
87,9138,6270,87,1799
88,4034,1351,88,3869
89,5125,5221,89,8862
90,1343,2761,90,4605
91,3677,9451,91,7959
92,5221,6206,92,4167
93,9224,7236,93,3891
94,7249,5117,94,6592
95,9610,8404,95,6390
96,8422,2533,96,9415
97,680,5423,97,2945
98,978,5019,98,8580
99,8963,857,99,3328
100,9527,5812,100,3519
101,1444,9884,101,6317
102,752,940,102,8223
103,4382,6344,103,6755
104,6555,4160,104,3309
105,7521,1804,105,9497
106,9599,3811,106,9356
107,5501,5263,107,3296
108,4601,1199,108,3794
109,552,3421,109,50
110,3479,1391,110,5677
111,9757,9751,111,8362
