product_id,name,price,subcategory,category
0,product53,205.45,subcategory4,category1
1,product79,53.49,subcategory2,category3
2,product37,233.85,subcategory5,category3
3,product87,288.04,subcategory4,category8
4,product100,34.42,subcategory5,category7
5,product46,259.11,subcategory2,category2
6,product70,172.78,subcategory1,category2
7,product60,89.11,subcategory5,category4
8,product45,147.91,subcategory4,category3
9,product36,135.11,subcategory3,category1
10,product25,113.65,subcategory5,category3
11,product5,195.26,subcategory5,category9
12,product78,202.92,subcategory5,category8
13,product34,232.41,subcategory2,category4
14,product6,267.34,subcategory2,category10
15,product72,7.1,subcategory2,category10
16,product47,276.85,subcategory3,category6
17,product48,6.26,subcategory3,category6
18,product22,188.15,subcategory5,category5
19,product51,475.19,subcategory4,category8
20,product86,285.45,subcategory4,category3
21,product43,368.31,subcategory4,category5
22,product6,146.32,subcategory2,category3
23,product82,53.43,subcategory3,category10
24,product60,204.66,subcategory5,category6
25,product19,146.08,subcategory5,category9
26,product37,50.82,subcategory2,category1
27,product58,78.49,subcategory4,category8
28,product62,69.52,subcategory3,category1
29,product65,38.91,subcategory4,category3
30,product71,42.77,subcategory3,category6
31,product39,35.74,subcategory1,category8
32,product5,173.95,subcategory3,category8
33,product83,16.41,subcategory4,category1
34,product6,30.21,subcategory2,category6
35,product21,22.67,subcategory3,category7
36,product74,127.88,subcategory1,category10
37,product79,30.28,subcategory1,category3
38,product25,180.41,subcategory3,category4
39,product72,245.26,subcategory5,category2
40,product87,286.58,subcategory4,category4
41,product69,224.09,subcategory2,category6
42,product99,239.3,subcategory4,category7
43,product49,25.25,subcategory1,category3
44,product90,144.08,subcategory3,category10
45,product12,154.13,subcategory3,category9
46,product29,238.67,subcategory5,category1
47,product48,186.38,subcategory1,category4
48,product28,133.62,subcategory3,category4
49,product52,365.42,subcategory3,category3
50,product21,80.75,subcategory1,category8
51,product27,57.33,subcategory1,category2
52,product11,40.15,subcategory1,category2
53,product6,251.43,subcategory4,category9
54,product90,55.24,subcategory1,category4
55,product45,157.54,subcategory4,category10
56,product32,26.81,subcategory3,category8
57,product56,135.85,subcategory5,category3
58,product90,136.05,subcategory1,category6
59,product8,136.18,subcategory4,category3
60,product52,241.39,subcategory2,category10
61,product72,222.16,subcategory2,category4
62,product98,32.22,subcategory5,category7
63,product43,28.54,subcategory4,category3
64,product30,240.77,subcategory5,category8
65,product30,43.46,subcategory4,category8
66,product81,101.55,subcategory2,category9
67,product46,193.66,subcategory1,category5
68,product6,10.31,subcategory3,category2
69,product31,12.72,subcategory1,category1
70,product83,365.26,subcategory5,category9
71,product63,86.95,subcategory5,category7
72,product85,161.17,subcategory4,category10
73,product61,205.84,subcategory3,category3
74,product91,111.29,subcategory5,category5
