whishlist_id,user_id,product_id,date_added
0,289,2404,100000
1,2400,3085,100001
2,6082,715,100002
3,1450,8800,100003
4,5788,7324,100004
5,5694,3873,100005
6,654,8249,100006
7,1542,1831,100007
8,2387,6259,100008
9,1130,2004,100009
10,2336,6355,100010
11,1878,9848,100011
12,4032,1520,100012
13,3410,603,100013
14,3827,1543,100014
15,8810,2862,100015
16,6473,5057,100016
17,5492,9324,100017
18,8162,2245,100018
19,1630,5387,100019
20,638,4480,100020
21,6389,1310,100021
22,9984,8491,100022
23,6145,3731,100023
24,2097,7055,100024
25,802,4329,100025
26,6512,1215,100026
27,7725,3650,100027
28,3294,2232,100028
29,3939,6295,100029
30,9677,8961,100030
31,5419,8463,100031
32,4798,7867,100032
33,5904,3688,100033
34,6844,8473,100034
35,7141,8269,100035
36,1511,5015,100036
37,8011,1340,100037
38,6745,7603,100038
39,4977,2945,100039
40,6429,8277,100040
41,4132,2969,100041
42,8210,8677,100042
43,338,7754,100043
44,9186,3501,100044
45,1636,6058,100045
46,2996,2489,100046
47,7972,664,100047
48,9180,3207,100048
49,4978,4657,100049
50,1643,88,100050
51,9991,6169,100051
52,5680,9757,100052
53,6698,3044,100053
54,809,4292,100054
55,8213,8337,100055
56,5005,8000,100056
57,820,7067,100057
58,1068,8019,100058
59,4503,4225,100059
60,1534,7101,100060
61,4063,9018,100061
62,3546,5094,100062
63,5272,7691,100063
64,7283,280,100064
65,5916,4531,100065
66,8153,5994,100066
67,3999,416,100067
68,4509,547,100068
69,1234,6219,100069
70,8543,2026,100070
71,8158,7741,100071
72,6728,5452,100072
73,9535,8987,100073
74,2240,5140,100074
75,2015,5026,100075
76,2662,6786,100076
77,5839,6243,100077
78,2340,1099,100078
79,5072,9984,100079
80,3245,5451,100080
81,113,8663,100081
82,2760,118,100082
83,2906,5348,100083
84,6178,3295,100084
85,1387,907,100085
86,9280,421,100086
87,3555,240,100087
88,3839,658,100088
89,8668,6420,100089
90,9299,6618,100090
91,3249,2811,100091
92,8263,9965,100092
